training_id,paper_id,model_id,learning_strategy,specific_methods,foundation_model,finetuning_method,labeled_samples,annotation_level,pretraining_dataset,pretraining_method,cross_env_tested,training_environment,test_environments,generalization_summary,factors_affecting_generalization,domain_adaptation_techniques,learning_strategy_clean,labeled_samples_numeric
11,11,11,Zero-Shot,Zero-shot segmentation (SAM)|Interactive prompt refinement (manual tree detection frames as supplement)|Domain knowledge retrieval (vector database with FAISS similarity search),SAM (Segment Anything Model),Zero-shot (no fine-tuning),"Zero labels required for SAM segmentation. DeepForest detection uses pre-trained weights, no additional training. For LLM domain knowledge base, forestry ecology text is embedded and stored but exact corpus size not specified.",System designed to avoid pixel-level annotation. Uses DeepForest pre-trained detector (trained on bounding box annotations) to generate prompts. Manual annotation of bounding boxes can supplement automatic detection interactively.,"SAM pre-trained on SA-1B dataset (1 billion masks), DeepForest pre-trained on tree detection corpus",SAM: Self-supervised learning (masked autoencoder-based) on massive image collections with prompted segmentation. DeepForest: Supervised training on tree detection dataset with RetinaNet framework.,No,"Urban forest environment, Shenzhen, China",,,,,Zero-Shot,
12,12,12,Fully Supervised,,No,,"2784 randomly selected labeled timeseries pixels (90% training, 10% validation, 10% testing data split)",Pixel-level binary forest/non-forest labels derived from intersection of Hansen forest loss dataset and Landsat-based GLAD alerts,No pre-training - random initialization with improved Xavier initialization,,No,"Dry Chaco eco-region, Bolivia",,Model tested on independent test data from same region but disjointed from training area,Missing data in Sentinel-2 time-series due to cloud cover and shadows|Limited diversity in training dataset affecting generalization capability,,Fully Supervised,2784.0
13,13,13,Fully Supervised,"Data augmentation (horizontal inversion, rotation, vertical inversion - 4x expansion)",No,,"843 original labeled images cropped from 28 remote sensing images, expanded to 3,372 images through augmentation. Training set: 80% (2,697 images), Validation: 10% (337 images), Test: 10% (338 images)","Pixel-level semantic segmentation masks for three classes: mangrove, Spartina alterniflora, and other vegetation",Not mentioned - appears to be trained from scratch or using standard ImageNet pre-training for backbone,,No,"Gaoqiao and Shankou Mangrove Reserves, China (combined training set)",,,Authors identify: spectral similarity between mangroves and surrounding vegetation (particularly Spartina alterniflora)|scattered distribution and small size of mangroves leading to highly imbalanced dataset|multispectral nature requiring careful band selection|noise interference in remote sensing imagery,,Fully Supervised,843.0
14,14,14,Fully Supervised,,No,,"Zurich: 6,322 training images (70% of 9,032 total); Shanghai: 52,346 training images (70% of 74,780 total)",Pixel-level semantic segmentation masks for tree cover,No pre-training,Trained from scratch without pretrained weights,Yes,Models trained and tested separately on Zurich (temperate/urban) and Shanghai (urban) datasets,,"Model tested on two geographically and environmentally distinct datasets with different sensor combinations (ORS+DSM vs ORS+SAR) and resolutions. While not tested in cross-site transfer, the consistent architecture performance across both environments demonstrates robustness to different environmental conditions and modality combinations.","Temporal misalignment between multi-modal data acquisition|Vegetation changes (pruning, harvesting, seasonal defoliation)|Spectral signature shifts between sensors|Geographic shifts and differences in capture time|Canopy density differences between environments|Imaging quality variations",Cross-modal distillation for feature alignment|Uncertainty-guided reconstruction from primary to auxiliary modality,Fully Supervised,6322.0
15,15,15,Fully Supervised,"Model ensembling (3-fold cross-validation)|Test-time augmentation (TTA) with flipping, rotation, rescaling",No,,"Denmark: ~14,160 trees for training (60% of 23.6k); Rwanda: ~59,280 trees for training (60% of 98.8k)",Pixel-level polygon masks for individual tree crowns with manual delineation,ImageNet pre-trained weights for ResNet50 backbone,Supervised classification on ImageNet,Yes,"Two separate datasets: Denmark (temperate forest, urban, peri-urban) and Rwanda (tropical forest, savanna, agroforestry, urban)","Denmark test set covers multiple biomes: nordic forests, urban areas, farmlands|Rwanda test set covers rainforest, savanna, plantations, farmlands","Models trained and tested separately on each dataset. Rwanda shows lower absolute performance across all methods (13.8% vs 30.4% bF1 at γ=0.5), suggesting tropical/savanna environments with variable tree distributions are more challenging than temperate forests. Performance patterns remain consistent across both datasets: P2P achieves best detection, Heatmap shows best localization, FasterRCNN best for crown area estimation. No explicit cross-dataset transfer testing conducted.",Canopy density|Tree size distribution variability|Species diversity|Background complexity|Annotation protocol differences between datasets,,Fully Supervised,14160.0
16,16,16,Fully Supervised,,No,,Dataset split 50/20/30 train/valid/test with images of size 256×256×4 pixels divided into patches of 16×16×4,"Multi-label image-level tags (14 classes per image: atmospheric conditions, common land cover/use, and rare land cover/use phenomena)",,,No,"Amazon basin (Tropical Forest) - Brazil, Venezuela, Colombia, Peru, Bolivia",,,,,Fully Supervised,50.0
17,17,17,Fully Supervised,,Swin Transformer (with ImageNet-21k pretraining),Head Fine-tuning (frozen backbone),Over 1 million paired samples synthesized from Open-Canopy dataset,"Pixel-level regression maps for 8 ecological variables (5 spectral indices computed via physical formulas, canopy height from LiDAR, AGB and CS from empirical models)",ImageNet-21k,Supervised classification on ImageNet-21k,No,"Temperate Forest (France, Open-Canopy dataset)",,,"Spectral domain shifts between natural images (ImageNet pretraining) and remote sensing imagery|Regional calibration of empirical models for structural variables (AGB, CS coefficients vary by forest type)|Environmental heterogeneity affecting structural variable estimation (forest edges, bare land areas)|Task complexity differences - spectral indices directly computed from bands vs structural variables depending on on complex environmental factors",,Fully Supervised,1000000.0
18,18,18,Fully Supervised,,No,Full Fine-tuning (all parameters),"1390 labeled trees total (1167 training, 223 validation) across 505 images (433 training, 72 validation), covering 48,175 m² training area and 8,500 m² validation area","Bounding boxes with tree center point annotations, created through combination of field survey (tacheometric measurements with <10cm accuracy for 125 test trees) and visual interpretation of multispectral TDOP imagery",COCO (Common Objects in Context) detection dataset,Supervised object detection on COCO dataset,Yes,"Mixed forest area at KROOF site, Bavaria, Germany (training: 48,175 m², 1167 trees, mixed forest type)","Coniferous plot #1 (2434 m², 55 trees, 226 trees/ha)|Mixed plot #2 (1883 m², 36 trees, 191 trees/ha)|Deciduous plot #3 (1840 m², 34 trees, 185 trees/ha)","DETR performance varies significantly by forest composition: highest performance in mixed forest (86% F1), moderate in coniferous (83% F1), and lowest in deciduous (71% F1). Performance drop of 15% F1-score from best (mixed) to worst (deciduous) environment. All tests conducted within same site (KROOF) but different forest composition types, so represents within-site cross-environment robustness rather than geographic transfer.",Forest composition (coniferous vs deciduous vs mixed)|Tree size - small trees (<5m crown diameter) more difficult to detect|Crown overlap and density - over-segmentation occurs in dense deciduous areas with large crowns|Training data composition - authors note 'training data contain mainly medium-sized trees' leading to over-segmentation of larger crowns,,Fully Supervised,1390.0
19,19,19,Fully Supervised,,No,,"Trento: 819 training samples (2.71% of total 30,214); Houston 2013: 2,832 training samples (18.84% of total 15,029)",Pixel-level semantic segmentation masks for land cover classes,Not explicitly mentioned - appears to be trained from scratch on task-specific datasets,,Yes,"Trento: Rural region, southern Trento, Italy (temperate agricultural landscape with vineyards, apple trees, woods); Houston 2013: Urban campus environment, Houston, USA",Separate test splits within same geographic regions,"Model demonstrates strong adaptability across distinct environment types (rural temperate agriculture vs urban mixed landscapes), maintaining >97% OA in both settings. Performance slightly higher in natural/agricultural setting (99.0%) compared to more complex urban environment (97.41%), suggesting robust but not perfect cross-environment generalization",Authors identify: (1) availability and diversity of training data constrains cross-environment performance; (2) heterogeneous vegetation types in complex environments like multi-layered forests and mixed-species woodlands present classification challenges; (3) spectral data redundancy and noise affect generalization; (4) terrain variation and canopy height differences require effective structural feature transformation,,Fully Supervised,819.0
20,20,20,Fully Supervised,,No,,"76,950 annotated date palm trees, 16,260 training image tiles of 512×512 pixels",Pixel-level semantic segmentation masks,AED20K,Supervised pre-training on AED20K semantic segmentation dataset,Yes,"Agroforestry and urban areas in Ajman and Kalba, UAE","Dibba region, UAE (different acquisition date and location)","Mask2Former, UniFormer, and UperNet-Swin transformer models demonstrated effective generalization and high transferability to the Dibba region with multispectral data, achieving 83.17-84.36% mIoU and 90.13-90.95% mF-score. Notably, multispectral models showed substantial performance improvements (5.92-7.42% mIoU) in the transfer setting compared to RGB, demonstrating enhanced robustness across different acquisition dates and locations",Acquisition date differences|Illumination condition variations|Surrounding environment diversity|Canopy size and structure variation|Tree age and health state differences|Dense distribution patterns|Spectral signature variations across locations,,Fully Supervised,76.0
21,21,21,Fully Supervised,"Previous deforestation temporal distance map|Patch-based training with 70% overlap|Class balancing - equal number of Deforestation Presence and Deforestation Absence patches|Weighted cross entropy loss with 0.8 weight for Deforestation class, 0.2 for No Deforestation, 0.0 for Background",No,,Patches extracted from training tiles covering 2018-2019 period with 128×128 pixel patches at 70% overlap. Minimum 2% deforestation pixels required for Deforestation Presence classification. Equal number of Deforestation Presence and Absence patches used.,"Pixel-level semantic segmentation masks derived from PRODES polygon delineations with 3-pixel buffer applied. Three classes: No Deforestation, Deforestation, Background",Models trained from scratch (no pre-training mentioned),,No,"Southeastern Amazonas State, Brazilian Amazon (2018-2019 data for training)",,,Cloud coverage conditions|Atmospheric effects on optical imagery|Temporal variation in image acquisition (±15 days window from PRODES reference date)|Spectral and structural differences between optical and SAR modalities,,Fully Supervised,2018.0
22,22,22,Self-Supervised,Masked Autoencoder (MAE) pre-training|Spectral band randomization|Random modality sampling|Gradient accumulation across heterogeneous batches,FoMo-Net (custom foundation model developed in this work),Full Fine-tuning (all parameters),"Pre-training uses large-scale unlabeled remote sensing imagery (SSL4EO-Landsat: global coverage, RapidAI4EO: 500k locations, TalloS: ~335k locations, etc.). Downstream fine-tuning uses task-specific labeled datasets varying from hundreds (Spekboom) to hundreds of thousands (FiveBillionPixels) of samples","Varies by downstream task: pixel-level semantic segmentation masks, instance masks for detection, multi-label classification tags","Multi-source remote sensing data: SSL4EO-Landsat (Landsat 8-9, global), RapidAI4EO (Planet + Sentinel-2, Europe, 500k locations), TalloS (Sentinel-1, Sentinel-2, DEM, global), FLAIR #1 (aerial, France), FiveBillionPixels (Gaofen-2, China), and combined UAV datasets from FoMo-Bench. Sampling weights: 0.2 for satellite datasets, 0.1 for high/very high resolution aerial",Masked Autoencoder (MAE) with spectral band randomization. Random sampling of datasets and spectral bands at each iteration (up to 4 bands per batch). Each band independently tokenized with learnable spectral and positional embeddings. Gradient accumulation over V batches to stabilize training across heterogeneous inputs. Trained for 300 epochs,Yes,"FoMo-Net pre-trained on globally distributed multi-modal data from SSL4EO-Landsat (Landsat 8-9), RapidAI4EO (Planet, Sentinel-2), TalloS (Sentinel-1, Sentinel-2, DEM), FLAIR #1 (aerial), FiveBillionPixels (Gaofen-2), and UAV datasets spanning multiple continents and biomes","FoMo-Bench datasets covering: Temperate forests (Germany, USA, Canada)|Tropical forests (Brazil)|Boreal forests|Urban areas (China, France, UAE)|Agroforestry (date palms)|Wetlands|Mangroves|Various forest types globally","FoMo-Net demonstrates variable cross-environment performance. Strongest performance on global-scale land cover tasks (ForestNet) and competitive on regional segmentation (Waititu, Woody). Struggles with fine-grained classification on highly imbalanced datasets (TalloS with 1160 classes) and object detection tasks (NeonTree, ReforesTree). The model's flexibility across diverse modalities and resolutions enables evaluation on 15 heterogeneous datasets, though specialized models often achieve superior task-specific performance",Task complexity and label granularity (extreme class imbalance in TalloS with 1160 genera)|Spatial scale mismatch between pre-training (64×64 patches) and deployment|Domain gap between pre-training data distribution and specialized tasks|Model capacity constraints (12-layer ViT may be insufficient for diverse global tasks)|Lack of hierarchical features in ViT for dense prediction tasks,,Fully Supervised,
23,23,23,Fully Supervised,"Image augmentation (random cropping, horizontal flipping, photometric distortions)|Auxiliary supervision from intermediate encoder stage|Multi-scale feature integration",No,,"4862 annotated images for training (70% of 6945 total patches), 1390 for validation (20%), 693 for testing (10%)",Pixel-level binary segmentation masks (knotweed patches vs background),ImageNet-1K,Supervised classification on ImageNet-1K,No,"Three sites in West Virginia: organic farm (Monongalia County), Ohio River shoreline (Marshall County), and railroad trails (Brooke County)",,Model trained and tested on data from same geographic region (West Virginia). Three sites represent diverse local conditions where Japanese knotweed is commonly found but no cross-biome or cross-regional testing reported.,,,Fully Supervised,4862.0
24,24,24,Mixed,,DINOv2 (used by evaluated models DepthAnything and Metric3D),Not applicable - evaluation paper testing pre-trained models,"Evaluation uses pre-trained models: DepthAnything (63.5M images), Metric3D (9.08M images), DPT (1.4M images), ZoeDepth (varies), MiDas (1.92M images), GLP (23K images), Adabins (50K images)",Pixel-level depth maps,"Varies by evaluated model: DepthAnything (63.5M images: BlendedMVS, TartanAir, ImageNet-21K, Places365, SA-1B, etc.); Metric3D (9.08M images: autonomous driving, indoor, outdoor); DPT (1.4M images including TartanAir forest); ZoeDepth (mixed datasets including TartanAir); MiDas (1.92M images); GLP (23K KITTI); Adabins (50K NYU Depth v2 indoor)",Mixed: Supervised depth estimation on labeled datasets; Self-supervised on unlabeled data (DepthAnything uses affine-invariant loss); Domain-specific pre-training on remote sensing and forest data where available,Yes,"Models pre-trained on diverse datasets: DepthAnything (63.5M images including BlendedMVS, TartanAir, ImageNet-21K, etc.); Metric3D (9.08M images including autonomous driving and outdoor datasets); DPT (1.4M images including TartanAir forest data); MiDas (1.92M images); Others on smaller datasets",Mid-Air synthetic forest (extremely low-altitude UAV)|LOBDM-Forest synthetic (individual tree focus)|Low-Viewpoint Forest real (UK woodland),"Models trained on diverse datasets (DepthAnything, DPT, ZoeDepth) show robust cross-dataset generalization to forest scenes. However, models trained on limited domains struggle: Adabins (trained on indoor NYU-v2) 'failed to generate meaningful predictions for outdoor forest scenes due to insufficient generalization capability.' Metric3D trained mainly on 1-10m depth ranges struggles with Mid-Air's 0-100m range. Best generalization achieved by DepthAnything trained on 63.5M diverse images. Real-world forest scenes with 'complex textures, light shading, and challenging occlusions' impose higher demands than synthetic data.",Training data domain (indoor vs outdoor)|Depth range distribution (1-10m vs 0-100m)|Canopy density and occlusion complexity|Lighting conditions (synthetic vs real-world shading)|Tree structural characteristics (sparse vs dense foliage)|Dataset diversity and scale,,Mixed,63.5
25,25,25,Fully Supervised,"Data augmentation (flip, skew, random erasing)|Super Resolution GAN (SR-GAN) for test-time enhancement|Transfer learning from ImageNet1K|Dropout regularization|Fine-tuning with adjusted learning rates and weight decay",No,,"Original: 2,690 training images, 560 validation images; Augmented: 63,000 training images, 3,000 validation images; 4 species classes (Acer opalus, Castanea sativa, Olea europaea, Quercus pubescens)",Image-level class labels (species identification),ImageNet1K,Supervised classification on ImageNet,Yes,"Ground-level close-range images from iNaturalist showing trees from 'eye level' viewpoint with high detail, captured across various locations","UAV aerial images from Marche Region, Italy, captured at 20-40 meters altitude showing trees from top-down perspective with less detail","Significant domain shift observed between ground-level training images and aerial UAV test images, with 24-28% performance drop from validation to test. Authors note 'the significant difference, especially for some classes, between the images in the train/validation dataset, which were taken from ground level, and the test dataset containing images taken via UAV.' Augmentation reduced but did not eliminate this gap. Reversing datasets produced even worse results (0.48 accuracy), confirming bidirectional generalization challenge.",Viewpoint shift (ground-level vs aerial perspective)|Image resolution differences (high-detail iNaturalist vs lower-detail UAV)|Seasonal phenological variation|Canopy density and background clutter in UAV images|Presence of multiple species in single UAV image|Different lighting conditions during UAV acquisition|Weather conditions affecting UAV image quality|Annotation protocol differences between carefully curated iNaturalist vs challenging-to-label UAV images,"Data augmentation (flip operations: random flip, flip top/bottom, flip left/right)|Geometric transformations (skew)|Random erasing augmentation|Super Resolution GAN (SR-GAN) for resolution enhancement|Fine-tuning with dropout adjustment|Transfer learning from ImageNet1K pre-training",Fully Supervised,2690.0
26,26,26,Fully Supervised,Knowledge distillation|Multi-resolution supervision|Data augmentation (random crop and flip)|Discrete-continuous loss formulation|Class weighting for imbalanced height distribution,No,,"11.6M GEDI footprints (43% of 27M acquired after quality filtering). Training uses 75% of 2559 grid cells (768×768m), with 256×256m random crops per training iteration. Duplicated under-represented height ranges (tall trees) up to 8x to balance distribution.",GEDI RH98 (98th percentile height) point measurements at 25m footprint scale,No pre-training - Novel knowledge distillation approach instead,"Knowledge distillation from two pre-trained teacher models (single-modality U-Nets for S1 and S2) at multiple resolutions (160m, 80m, 40m). Teachers filter training data by selecting only pixels where both models agree within 10% difference. Student (Hy-TeC) learns from teacher outputs at lower resolutions while forming own representation at 10m resolution.",Yes,"Ghana - Mixed environments including tropical forests, savannas, wetlands, mangroves, urban areas",Dense tropical forests (southern Ghana)|Sparse savanna (northern Ghana)|Urban areas (multiple cities)|Wetlands/mangroves (coastal regions),Model demonstrates good generalization across Ghana's diverse biomes. Performance is best in sparse vegetation (r=0.56) and moderate in dense forests (r=0.25). Authors note the challenging nature of dense tropical forests with heterogeneous composition limits all approaches including GEDI itself.,"Canopy density - model shows better performance in sparse vegetation (r=0.56) vs dense forests (r=0.25)|Tree height distribution - limited GEDI samples over tall trees (>35m, <1% of data) affects estimation accuracy|GEDI data quality - instrument limitations (4m pulse width, geolocation errors up to 10m, limited laser penetration in dense canopy) propagate to model predictions|Spectral signature differences across biomes|Seasonal variation and cloud cover - mitigated by 15-month mosaic approach|Urban built-up areas require careful handling - Hy-TeC naturally masks these while α-2MDU produces artifacts",,Fully Supervised,11.6
27,27,27,Fully Supervised,Masked Autoencoder (MAE) pre-training,Prithvi-100M,Full Fine-tuning (all parameters),37 AOIs with 24 monthly images each = 888 training images with pixel-level forest/background annotations,Pixel-level semantic segmentation masks for forest and other vegetation class vs background,NASA's HLS (Harmonized Landsat Sentinel 2) V2 L30 product with 30m granularity - large-scale contiguous dataset,"Self-supervised learning using Masked Autoencoder (MAE) with mean squared error loss, incorporating spatial attention across patches and temporal attention for each patch",Yes,37 AOIs globally distributed across multiple continents with diverse land cover types,8 AOIs globally distributed across different continents,"Prithvi-100M demonstrates variable performance across test AOIs (41.7% to 75.0% accuracy), with average 59.9% correct identification of forest area change direction. Authors note that some AOIs (3, 7, 8) are notably more challenging. The spatially and temporally heterogeneous test set (captured between January 2018-December 2019 across all continents) provides rigorous evaluation of generalization capabilities.","Cloud contamination and occlusions (26% minor, 5% major quality issues)|High land cover heterogeneity across AOIs|Agriculture class similarity to forest vegetation|Temporal variation in monthly composites|Geographic diversity across continents",,Fully Supervised,37.0
