model_id,paper_id,model_name,category,backbones,key_innovation,parameter_count,inference_time,training_time,memory_requirements,ablation_variants,category_clean,parameter_count_millions
11,11,Tree-GPT,Vision-Language Model,SAM (ViT-H)|DeepForest (RetinaNet + ResNet50)|GPT-4/ChatGPT,"First modular LLM expert system for forestry that integrates: (1) Image Understanding Module using SAM with custom prompt generation and bipartite graph matching for tree crown segmentation, (2) Domain Knowledge Base (Chroma vector database) for accurate professional knowledge retrieval, (3) LLM (GPT-4/ChatGPT) as reasoning engine, (4) Execution Agent (LangChain-based) for code generation and local execution, enabling interactive natural language-driven forest data analysis including visualization, search, and machine learning tasks.",,,,,,Vision-Language Model,
12,12,Siamese Transformer for Seasonal Forest Disturbance Detection,Pure Vision Transformer,Transformer Encoder,"A Siamese Transformer architecture that processes Sentinel-1 SAR and Sentinel-2 time series through separate transformer encoder streams with decision-level fusion, designed to implicitly learn natural forest seasonality patterns without requiring traditional manual deseasonalization approaches.",~0.5M (estimated: small transformer with embedding dim 224),,,Tesla T4 GPU used for training,,Pure Vision Transformer,0.5
13,13,SSMM-DS (Semantic Segmentation Model for Mangroves based on DeepLabv3+ with Swin Transformer),CNN-Transformer Hybrid,Swin Transformer Tiny,"The model introduces a Data Concatenation Module (DCM) that fuses spectral bands with vegetation and water indices (NDVI, RVI, NDWI) to enhance mangrove discrimination, replaces the Xception backbone with computationally efficient Swin Transformer, and optimizes the loss function by combining cross-entropy and Dice loss to address sampling imbalance from small mangrove areas.",17.48M parameters,,100 epochs with batch size 4,,DeepLabv3+ with Xception|DeepLabv3+ with ResNet50|DeepLabv3+ with Swin Transformer Tiny,CNN-Transformer Hybrid,17.48
14,14,MURTreeFormer,CNN-Transformer Hybrid,Swin Transformer,MURTreeFormer introduces a Selective Uncertainty-guided Reconstruction Module (SURM) that explicitly models patch-level aleatoric uncertainty in multi-modal data to handle temporal misalignment between modalities. It identifies uncertain patches through distributional features and reconstructs them using VAE-based sampling from the primary modality's latent distribution.,,,100 epochs,"Trained on GeForce RTX 4090 GPU with 24 GB RAM, batch size of 5",,CNN-Transformer Hybrid,
15,15,"Multiple frameworks compared: Segmentation (UNet), CenterNet, Heatmap detection (proposed), Point detection (P2P), Box detection (FasterRCNN)",CNN-Transformer Hybrid,UNet-R50|DeepLabV3|SegFormer|TransUNet,"Proposes a novel heatmap-based detection framework that encodes tree size information directly into variable-sized Gaussian kernels in a single heatmap, eliminating the need for separate size prediction networks while enabling efficient model ensembling.",UNet-R50: 33M; DeepLabV3: 40M; SegFormer: 45M; TransUNet: 105M; P2P: 24M; FasterRCNN: 41M,"Forward pass: UNet-R50 1.7ms, DeepLabV3 1.8ms, SegFormer 3.0ms, TransUNet 2.5ms, P2P 3.4ms, FasterRCNN 6.1ms per 256×256 patch",,All models trained on single Nvidia RTX 3090 (24GB VRAM),UNet-R50|DeepLabV3|SegFormer|TransUNet|P2P-VGG16|FasterRCNN-R50,CNN-Transformer Hybrid,50.0
16,16,ForestViT,Pure Vision Transformer,Vision Transformer (ViT) Encoder,"First convolution-free vision transformer for multilabel deforestation classification that leverages self-attention mechanisms to model long-range spatial dependencies and handle imbalanced classes, particularly excelling at detecting rare deforestation drivers (mining, logging, blooming) compared to CNN baselines.",~25M (estimated: custom ViT with 4 encoder blocks),Similar to convolutional models (ResNet and VGG) during test phase,"Cost per epoch approximately 37% higher than ResNET model, but 3% lower than VGG16",,,Pure Vision Transformer,25.0
17,17,SatelliteCalculator,Foundation Model Adaptation,Swin Transformer,"First vision foundation model for quantitative remote sensing inversion, featuring a prompt-guided multi-task architecture with frozen Swin Transformer backbone, cross-attentive adapters for task-specific feature modulation, and lightweight MLP decoders enabling simultaneous regression of eight ecological variables (spectral indices and structural variables) from multi-band satellite imagery.",478.46 MB total (MLP decoder configuration with 4 layers),0.48s per image (MLP decoder on GPU),"19.51 hours (MLP decoder, 8x NVIDIA A100 80GB GPUs)",1566 MB GPU memory (MLP decoder),,Foundation Model Adaptation,478.46
18,18,DETR (Detection Transformer),CNN-Transformer Hybrid,ResNet-50|Transformer encoder|Transformer decoder,"First application of DETR architecture for single tree detection in forestry, using end-to-end object detection with transformers that eliminates need for hand-crafted components like anchor generation and non-maximum suppression, processing global image information through transformer mechanism with learned object queries.",~41.0M (DETR estimated),,500 epochs with early stopping,"Batch size of 12 used, workstation with Nvidia RTX 8000 GPU and 256 GB RAM",,CNN-Transformer Hybrid,41.0
19,19,PlantViT,CNN-Transformer Hybrid,LightViT,"PlantViT introduces a dual-branch architecture integrating involution-based feature extraction for hyperspectral data with LightViT transformer blocks, enabling efficient spectral-spatial feature fusion while maintaining computational efficiency through lightweight Vision Transformer design. The model dynamically generates convolutional kernels using involution mechanism and employs cross-modal attention for HSI-LiDAR fusion.",,,100 epochs training duration,,,CNN-Transformer Hybrid,
20,20,"Comparative evaluation of multiple Vision Transformers: UperNet-ViT, UperNet-Swin, SegFormer, Mask2Former, UniFormer",Pure Vision Transformer,ViT|Swin-Tiny|SegFormer MiT-B3|Mask2Former Swin-Tiny|UniFormer-XS,"First comprehensive evaluation of multiple state-of-the-art vision transformers for date palm tree mapping from VHR satellite data, with systematic assessment of spectral band integration (RGB vs. multispectral) and development of a novel postprocessing technique for individual tree delineation and counting from semantic segmentation outputs.","SegFormer MiT-B3: 44.638M, MiT-B4: 61.408M, MiT-B5: 82.008M; UperNet-Swin Tiny: 59.018M, Small: 80.336M, Base: 0.12G; Mask2Former-Swin Tiny: 47M, Small: 69M, Base: 107M; UniFormer XS: 19.7M, Small: 25M, Base: 54M",,"Training times varied by model and data type: Mask2Former (RGB): ~14.97hr, (MS): ~24.1hr; UniFormer (RGB): ~6.79hr, (MS): ~6.83hr; UperNet-ViT (RGB): ~13.97hr, (MS): ~29.13hr; UperNet-Swin (RGB): ~11.51hr, (MS): ~10.6hr; SegFormer (RGB): ~10.7hr, (MS): ~9.34hr",24GB GPU memory (NVIDIA graphics card),UperNet-ViT|UperNet-Swin-Tiny|SegFormer MiT-B3|SegFormer MiT-B4|SegFormer MiT-B5|UperNet-Swin-Small|UperNet-Swin-Base|Mask2Former-Swin-Tiny|Mask2Former-Swin-Small|Mask2Former-Swin-Base|UniFormer-XS|UniFormer-Small|UniFormer-Base,Pure Vision Transformer,3.0
21,21,"Transformer-based fusion models (TRA-OPT, TRA-SAR, TRA-EF, TRA-JF, TRA-LF) and CNN-based fusion models (CNN-OPT, CNN-SAR, CNN-EF, CNN-JF, CNN-LF)",CNN-Transformer Hybrid,Swin Transformer (SwinUnet)|ResUNet,"Compared transformer-based (SwinUnet) and convolution-based (ResUnet) architectures across three multi-modal fusion strategies (early, joint, late) for deforestation detection under diverse cloud conditions, demonstrating that transformers achieve superior performance without increased computational time despite having significantly more parameters.","TRA-LF: 55,538,286 parameters; CNN-LF: 5,956,611 parameters; TRA-OPT: 27,417,546 parameters; CNN-OPT: 2,954,179 parameters",TRA-LF: 4.31 minutes per images pair; CNN-LF: 4.76 minutes per images pair; TRA-OPT: 3.63 minutes; CNN-OPT: 3.77 minutes,TRA-LF: 1.89 minutes per epoch; CNN-LF: 2.15 minutes per epoch; TRA-OPT: 1.42 minutes per epoch; CNN-OPT: 1.51 minutes per epoch,,CNN-OPT|CNN-SAR|CNN-EF|CNN-JF|CNN-LF|TRA-OPT|TRA-SAR|TRA-EF|TRA-JF|TRA-LF,CNN-Transformer Hybrid,55.5
22,22,FoMo-Net,Foundation Model Adaptation,"ViT (12 layers, 12 attention heads)","First unified pre-training framework capable of processing any combination of 36+ common remote sensing modalities (Sentinel-1, Sentinel-2, Landsat 8-9, Planet, Gaofen-2, UAV sensors) with variable spectral bands and ground sampling distances (few cm to 60m) using masked autoencoding with spectral and positional embeddings. Employs gradient accumulation across heterogeneous batches and random modality sampling.","FoMo-Net1: 66.39M parameters; FoMo-Netm: 73.57M parameters (varies by task-specific decoder). Comparable to other baselines: ResNet50: 23.56M, ViT: 87-89M, UPerNet: 121.30M",,Pre-trained for 300 epochs,,FoMo-Net1 (single shared linear projection)|FoMo-Netm (dedicated projection per spectral band),Foundation Model Adaptation,66.39
23,23,Twins-SVT + UPerNet,Pure Vision Transformer,Twins-SVT-Small,"Employs spatially separable self-attention mechanisms through Local Sub-window Attention (LSA) for fine-grained local details and Global Subsampled Attention (GSA) for long-range contextual dependencies, reducing attention complexity from O(N²) to approximately O(N√N). Integrated with UPerNet decoder using Pyramid Pooling Module for multi-scale context aggregation and auxiliary supervision from third encoder stage.",,30-40 milliseconds per 640×480 image (~25-33 frames per second) on NVIDIA RTX 3090 GPU,,24GB VRAM (NVIDIA RTX 3090),Twins-SVT|SegFormer|Swin-T|ViT,Pure Vision Transformer,
24,24,"Comparative evaluation of MiDas, Adabins, GLP, DepthAnything, Metric3D, DPT, ZoeDepth",Other,DINOv2 (DepthAnything)|DINOv2 (Metric3D)|ViT (DPT)|BEiT-L (ZoeDepth)|EfficientNet-B5 with Transformer (Adabins)|Swin Transformer (GLP),This is a benchmarking study that provides comprehensive evaluation of state-of-the-art MDE methods in forest environments using both traditional global metrics and novel geometry-aware metrics (Directed Depth Error and Depth Boundary Error) to assess performance in regions with depth discontinuities.,,,,All experiments conducted on NVIDIA GeForce RTX 4090 GPU,,Other,
25,25,"UAV4Tree system (multiple models tested: ResNet152, DenseNet161, VGG19, InceptionV3, Vision Transformer B16)",Pure Vision Transformer,ResNet152|DenseNet161|VGG19|InceptionV3|Vision Transformer B16,"A comprehensive DL-based system for automatic tree species classification combining multiple state-of-the-art architectures with Super Resolution GAN (SR-GAN) enhancement for improved performance on low-resolution UAV imagery, plus extensive augmentation strategies for better generalization.",86M (ViT-B/16 standard),,Less than 300 epochs for all models,,ResNet152|DenseNet161|VGG19|InceptionV3|Vision Transformer B16,Pure Vision Transformer,86.0
26,26,Hy-TeC (Hybrid Transformer-ConvNet),CNN-Transformer Hybrid,ViT-Base,"First application of Vision Transformer encoder for canopy height estimation, coupled with a novel teacher-student knowledge distillation approach that uses two pre-trained single-modality U-Nets to guide ViT training at multiple resolutions, eliminating need for large pre-training datasets. Combines discrete (classification into overlapping height bins) and continuous (regression) loss formulation with adaptive robust loss to handle outliers.","ViT-Base encoder: ~86M parameters (12 transformer blocks, embedding dimension 1536)",,250 epochs maximum with batch size 12,,2MOU (U-Net baseline with Huber loss)|2MDU (U-Net with dual output)|α-2MDU (U-Net with adaptive loss)|Hy-TeC (ViT encoder with adaptive loss),CNN-Transformer Hybrid,86.0
27,27,Prithvi-100M,Foundation Model Adaptation,Prithvi-100M (ViT),"Geospatial foundation model pre-trained by IBM and NASA on large-scale HLS dataset using temporal ViT architecture with masked autoencoder learning, incorporating both spatial attention across patches and temporal attention for each patch.","99.96M parameters (Prithvi-100M); U-Net: 0.50M; SegFormer: 3.72M; ChebConv: 8,429; GCNN: 2,733; TransUNet ViT-B_16: 92M; ViT-L_16: 311M; R50-ViT-B_16: 105M; R50-ViT-L_16: 324M",,Not more than 10 hours on NVIDIA RTX Titan 24GB GPU,24GB GPU memory,U-Net|SegFormer|ChebConv|GCNN|TransUNet ViT-B_16|TransUNet ViT-L_16|TransUNet R50-ViT-B_16|TransUNet R50-ViT-L_16,Foundation Model Adaptation,99.96
28,28,ForestFormer3D,CNN-Transformer Hybrid,3D sparse U-Net (SpConvUNet)|Transformer decoder (6 layers),"Introduces ISA-guided (Instance-and-Semantic-Aware) query point selection, one-to-many association mechanism replacing Hungarian matching, and score-based block merging strategy for large-scale forest point cloud segmentation. First end-to-end transformer-based framework specifically designed for forest LiDAR segmentation.",,,3000 epochs total (1000 epochs MLP head pretraining + 2000 epochs joint training) on single NVIDIA A100 GPU with 80GB memory,"80GB GPU memory (NVIDIA A100), batch size of 2",ISA-guided query selection|Score-based block merging (BM1)|Score-based block merging with boundary masking (BM2)|One-to-many association (O2MA),CNN-Transformer Hybrid,
29,29,ViTDet with SAM (Segment Anything Model) for pseudo-labeling,Foundation Model Adaptation,ViT-H|SAM (ViT-H)|HQ-SAM,"A two-step semi-supervised approach: 1) Train burn-in detector on small labeled dataset, 2) Use SAM with strategic point prompt sampling (5 vertically-sampled points from mask logits) combined with box and mask prompts to generate high-quality pseudo-labels for large unlabeled dataset (110K images).",ViT-H: 632M parameters for SAM; ViTDet uses ViT-H backbone,,Burn-in: 4500 iterations; Finetuning on pseudo-labels: 50k iterations,"Requires running three models at once (burn-in detector, SAM, and finetuning model) would be GPU memory intensive, which is why mutual learning stage was avoided",,Foundation Model Adaptation,632.0
30,30,TransU-Net++,CNN-Transformer Hybrid,Vision Transformer (ViT),"TransU-Net++ introduces attention gates and heterogeneous kernel convolutions (HetConv) to the TransU-Net architecture, combining point-wise and group-wise convolutions with ViT encoders to improve positional information extraction and feature representation learning for deforestation segmentation.",~105.0M (TransU-Net++ estimated),,Training time comparison shown in Figure 15 indicates TransU-Net++ has slightly better computation cost compared to baseline TransU-Net; Swin U-Net and ENet showed highest training times across all datasets,,TransU-Net (baseline)|TransU-Net-Het (with HetConv)|TransU-Net-AGs (with attention gates)|TransU-Net++ (full model),CNN-Transformer Hybrid,105.0
31,31,Spec-Mask2former,CNN-Transformer Hybrid,Mask2Former,"The model introduces Multi-scale Frequency Mean Query Generator (MFMQG) that leverages Discrete Wavelet Transform (DWT) to extract low-frequency information from multi-scale features and blend it with content queries, plus a Position Enhance Block (PEB) to reduce positional query information lag through linear transformation.",56.79M parameters,,,,,CNN-Transformer Hybrid,56.79
32,32,SegFormer-B0,Pure Vision Transformer,SegFormer-B0,"First systematic comparative analysis of Vision Transformer (SegFormer) against CNN-based models (U-Net and DeepLabv3+) for unhealthy tree crown detection in dense mixed forests, with comprehensive evaluation of different spectral band combinations (RGB, CIR, VI, PCA, RGBPC) and quantitative analysis of annotation uncertainty impact on model evaluation metrics.",3.75M parameters for SegFormer-B0; 44.5M for U-Net with ResNet101; 58M for DeepLabv3+ with ResNet101,,100 epochs with early stopping for SegFormer; batch size 12,8192MiB GPU memory (NVIDIA Quadro RTX 4000),U-Net with ResNet101|DeepLabv3+ with ResNet101|SegFormer-B0,Pure Vision Transformer,3.75
33,33,Mask R-CNN and DETR (Detection Transformer) for tree crown instance segmentation,CNN-Transformer Hybrid,ResNet-50,"First application of transformer-based DETR instance segmentation method for individual tree crown delineation, providing direct comparison with state-of-the-art Mask R-CNN using both multispectral imagery and LiDAR-derived images in temperate mixed forest.",,,Mask R-CNN: ~9000 iterations; DETR: ~19000 iterations on Ubuntu workstation with Nvidia RTX 8000 GPU,"Workstation equipped with 256 GB RAM, Nvidia RTX 8000 GPU",,CNN-Transformer Hybrid,
34,34,3D-CiLBE (3D City Long-term Biomass Estimation),Foundation Model Adaptation,"SAM (ViT-H, ViT-L, ViT-B)|CLIP|Informer","A three-stage framework that adapts multiple foundation models (SAM for vegetation segmentation from 3D LiDAR, CLIP for species identification via multi-view projection, and Informer for temporal biomass prediction) with multi-source data (LiDAR + OSM) to enable long-term urban forest biomass estimation at city scale.",LiDAR-SAM: 14M trainable parameters (vs SAM ViT-H: 636M); MLiDAR-CLIP: 12M trainable parameters,,,LiDAR-SAM: 2.51 GFLOPs (vs SAM ViT-H: 81.34 GFLOPs); MLiDAR-CLIP: 1.67 GFLOPs,"LiDAR-SAM (with Area Prompt)|LiDAR-SAM (with OSM mask)|LiDAR-SAM (None)|MLiDAR-CLIP (Pre-Train)|MLiDAR-CLIP (None)|MLiDAR-CLIP with varying projection views (4, 6, 10, 14, 16)|SAM (ViT-H)|SAM (ViT-L)|SAM (ViT-B)",Foundation Model Adaptation,14.0
35,35,BalSAM,Foundation Model Adaptation,SAM (ViT-H),"BalSAM builds on RSPrompter by integrating DSM (Digital Surface Model) information through a trainable DSM encoder module that fuses DSM and image embeddings, enabling SAM to leverage 3D structural information for tree crown instance segmentation through parameter-efficient prompt learning.",SAM ViT-H (used in all SAM-based methods); Mask R-CNN with ResNet-50 backbone,,"1-5 days depending on model and batch size; Maximum training epochs: 100 for Quebec Plantations, 200 for SBL, 300 for BCI (Mask R-CNN); 50 for Quebec Plantations, 100 for SBL, 200 for BCI (RSPrompter/BalSAM)",24GB CPU memory and 48GB GPU memory (single RTX8000 or A100); BalSAM variations and Mask R-CNN+DSM encoder required A100 with 80GB GPU memory and 48GB CPU memory,SAM automatic (100 pps)|SAM automatic (10 pps)|SAM+DSM prompts|Mask R-CNN (from scratch)|Mask R-CNN (pre-trained)|Mask R-CNN+DSM|Faster R-CNN+SAM|Faster R-CNN+SAM+DSM|Mask R-CNN+SAM|Mask R-CNN+SAM+DSM|RSPrompter|BalSAM|BalSAM variations,Foundation Model Adaptation,50.0
36,36,WetMapFormer,CNN-Transformer Hybrid,Custom 3D CNN|Custom 2D CNN|Local Window Attention (LWA) transformer,"Utilizes Local Window Attention (LWA) rather than conventional self-attention mechanism for improving feature generalization in local areas while substantially reducing computational cost of vanilla ViTs. LWA restricts each query token's receptive field to fixed-sized adjacent pixels in a neighborhood (7×7 window), eliminating need for pixel shifts used in Swin Transformer. Combines CNNs (for automatic feature engineering) with vision transformers (for long-range pattern recognition and global contextual information extraction).",1.6 million parameters,,15 minutes on Intel core-i7 CPU and RTX 2070 MAX-Q GPU,,Conv3D only|LWA only|DWC+LWA (Depth-wise Convolution + LWA)|Full WetMapFormer (Conv3D + Encoder-Decoder + DWC + LWA),CNN-Transformer Hybrid,1.6
37,37,VibrantVS,CNN-Transformer Hybrid,SWINv2 (modified)|DPT (Dense Prediction Transformer),"Multi-task vision transformer architecture combining a modified SWINv2 encoder with token registers, grouped query attention, Flash Attention V2, SWIGLU activation, and a metric-bin module head that learns height distribution for each pixel represented by 64 bins, enabling simultaneous prediction of canopy height at 0.5m resolution and canopy cover at 10m resolution.",,"Can process regions up to 100,000×100,000 pixels using a single Nvidia 24GB A10G GPU","2688 A100 GPU hours for 318,528 steps with batch size 16 per A100 node","24GB GPU memory for large-scale inference (100,000×100,000 pixels)",,CNN-Transformer Hybrid,
38,38,Mask2Former with DaViT backbone (tiny variants evaluated),Pure Vision Transformer,DaViT (tiny)|Swin Transformer (tiny)|GLIP (tiny)|EVA02 (tiny),"Integrates Mask2Former with Dual Attention Vision Transformers (DaViT), combining spatial window attention (local details) and channel group attention (global/context) within a masked-attention transformer decoder for efficient Acacia crown segmentation. SAM was PEFT-fine-tuned to accelerate high-quality mask annotation.",28.36M parameters (DaViT tiny),,≈40.89 h (DaViT); Swin ≈19.4 h; GLIP ≈24.1 h; EVA02 ≈36.3 h,Trained on NVIDIA Titan RTX (24 GB VRAM); host RAM 64 GB,Swin Transformer (tiny)|GLIP (tiny)|EVA02 (tiny),Foundation Model Adaptation,28.36
39,39,PerceptiveNet and PerceptiveNeTr,CNN-Transformer Hybrid,ResUNet (modified)|Vision Transformer (for PerceptiveNeTr),"Novel convolutional layer parameterized by trainable Log-Gabor functions, combined with averaged dilated convolutions and mixture of maximum and average pooling layers. The Log-Gabor parameterization addresses limitations of standard Gabor filters including zero DC components, improved orthogonality across scales, uniform Fourier domain coverage, and superior spatial localisation.",,,130 epochs (based on when train/validation results stopped improving),Batch size of 16,ResUNet|DilResUNet|LGMPResUNet|PerceptiveNet (Conv)|PerceptiveNet (Gab)|PerceptiveNet (LogGab)|ViTResUNet|PerceptiveNeTr,CNN-Transformer Hybrid,
40,40,"Multiple models evaluated: Mask R-CNN, Mask Scoring R-CNN, YOLACT, PointRend, SOLO, SOLOv2 with various backbones",CNN-Transformer Hybrid,ResNet-50-FPN|ResNet-101-FPN|ResNet-50-C4|ResNet-101-C4|ResNet-50-DC5|ResNet-101-DC5|ResNeXt-101-FPN|Swin-Tiny-FPN|Swin-Small-FPN,First comprehensive evaluation of Swin Transformer backbones versus CNN backbones (ResNets) for individual date palm tree instance segmentation. Developed novel data conversion framework to convert UAV image tiles and vector labels into COCO annotation format. Demonstrated that Swin Transformer backbones outperform ResNet backbones due to hierarchical multi-scale feature extraction and shifted window self-attention mechanism.,Swin-Small-FPN: not specified; Swin-Tiny-FPN: not specified; ResNet-based models: 22M-88M parameters,Swin-Tiny-FPN: ~0.11 fps; Swin-Small-FPN: ~0.137 fps; ResNet-50-FPN: ~0.045 fps; ResNet-101-C4: ~0.164 fps; YOLACT ResNet-50: ~0.06 fps (fastest); Mask Scoring ResNet-101-FPN: ~0.15 fps (slowest),"Swin-Small-FPN: 35.7 hours; Swin-Tiny-FPN: 24 hours; ResNet-50-FPN: 13.6 hours; ResNet-101-FPN: 19 hours; Mask Scoring ResNet-101-FPN: >96 hours (most expensive); YOLACT ResNet-50: 8.8 hours (fastest). All trained for 100,000 iterations on Titan RTX GPU with 24GB RAM.",24GB GPU RAM used for all experiments,ResNet-50-FPN|ResNet-101-FPN|ResNet-50-C4|ResNet-101-C4|ResNet-50-DC5|ResNet-101-DC5|ResNeXt-101-FPN|Swin-Tiny-FPN|Swin-Small-FPN,CNN-Transformer Hybrid,22.0
41,41,SAM2 (Segment Anything Model 2),Foundation Model Adaptation,SAM2 (Hiera-L image encoder),"First application of pretrained SAM2 for zero-shot tree detection and segmentation from aerial imagery, demonstrating strong generalization capabilities without any domain-specific fine-tuning. Also investigates zero-shot transfer by using tree detection model predictions (bounding boxes) as prompts to SAM2.",,,Zero training time - uses pretrained model,,,Foundation Model Adaptation,
42,42,MSFFNet (Multi-Source Feature Fusion Network),CNN-Transformer Hybrid,SegFormer-MiT-B0|SegFormer-MiT-B1|SegFormer-MiT-B2|SegFormer-MiT-B3|SegFormer-MiT-B4,"The model introduces a Multi-Level Feature Fusion (MLFF) module that enables deep cross-modal feature fusion between RGB imagery and CHM data through a Feature Alignment Module (FAM) using deformable convolution, followed by Channel Feature Interaction (CFI) and Spatial Feature Interaction (SFI) mechanisms to integrate geometric and attribute features from multimodal data.",,"Complete pipeline runtime approximately 190 min for 3.2 million points (includes MSFFNet training 180 min, inference 5 min, point cloud registration 1 min, semantic mapping 4 min)","180 minutes (60 epochs, batch size 8, AdamW optimizer)",Training conducted on NVIDIA GeForce RTX 3060 GPU,SegFormer-MiT-B0|SegFormer-MiT-B1|SegFormer-MiT-B2|SegFormer-MiT-B3|SegFormer-MiT-B4,CNN-Transformer Hybrid,
